"1,0";"31,12,2021";"Марьино";"450233776";"Столкновение";"";"0";"0";"г Москва ул Братиславская 6";"0,0";"1,0";"2,0";"3,0";
"3,0";"31,12,2021";"Чертаново Южное";"450233418";"Столкновение";"";"0";"0";"г Москва ш Варшавское 135 Б";"0,0";"1,0";"2,0";"2,0";
"4,0";"31,12,2021";"Сокольники";"450233738";"Наезд на препятствие";"";"0";"0";"г Москва ул Олений Вал 7к9";"0,0";"1,0";"2,0";"3,0";
"5,0";"31,12,2021";"Филевский парк";"450233498";"Столкновение";"";"0";"0";"г Москва ул Филёвская Б, 11";"0,0";"1,0";"2,0";"3,0";
"6,0";"31,12,2021";"Вешняки";"450233236";"Столкновение";"Северо-Восточная хорда (СВХ)";"3";"0";"г Москва  ";"2,0";"0,0";"2,0";"3,0";
"7,0";"31,12,2021";"Капотня";"450233622";"Столкновение";"";"0";"0";"г Москва ул Верхние Поля 53, кор, 2";"0,0";"1,0";"2,0";"3,0";
"8,0";"31,12,2021";"Гольяново";"450233490";"Наезд на пешехода";"";"0";"0";"г Москва ш Щёлковское 75";"0,0";"1,0";"1,0";"2,0";
"9,0";"31,12,2021";"Южное Бутово";"450233570";"Наезд на пешехода";"";"0";"0";"г Москва б-р Адмирала Ушакова 5";"0,0";"1,0";"1,0";"2,0";
"10,0";"31,12,2021";"Гольяново";"450233606";"Наезд на препятствие";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"103";"0";"г Москва  ";"0,0";"1,0";"1,0";"1,0";
"11,0";"31,12,2021";"Строгино";"450233274";"Наезд на стоящее ТС";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"68";"550";"г Москва  ";"0,0";"2,0";"2,0";"2,0";
"12,0";"31,12,2021";"Котловка";"450233556";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Севастопольский 47";"1,0";"1,0";"3,0";"4,0";
"13,0";"31,12,2021";"Михайлово-Ярцевское поселение";"450233538";"Столкновение";"А-107 Московское малое кольцо Икша - Ногинск - Бронницы - Голицыно - Истра - Икша";"235";"0";"  ";"0,0";"3,0";"2,0";"4,0";
"14,0";"31,12,2021";"Очаково-Матвеевское";"450233554";"Наезд на пешехода";"";"0";"0";"п Матвеевское ул Матвеевская 1Гс2";"0,0";"1,0";"1,0";"2,0";
"15,0";"31,12,2021";"Сосенское";"450233579";"Столкновение";"";"0";"0";"п Коммунарка ул Александры Монаховой 45";"0,0";"1,0";"2,0";"3,0";
"16,0";"31,12,2021";"Десёновское";"450233575";"Столкновение";"А-130 Москва - Малоярославец - Рославль - граница с Республикой Белоруссия (основное направление)";"32";"0";" ул Рябиновая 15";"0,0";"2,0";"2,0";"3,0";
"17,0";"31,12,2021";"Северное Тушино";"450233649";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"71";"0";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"18,0";"31,12,2021";"Восточное Измайлово";"450233679";"Наезд на пешехода";"";"0";"0";"г Москва б-р Измайловский 62";"0,0";"1,0";"1,0";"2,0";
"19,0";"31,12,2021";"Коньково";"450234096";"Столкновение";"";"0";"0";"г Москва ул Островитянова 37а";"0,0";"1,0";"2,0";"3,0";
"20,0";"31,12,2021";"Внуковское";"450233833";"Столкновение";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"30";"0";"поселение Внуковское  ";"0,0";"1,0";"3,0";"3,0";
"21,0";"31,12,2021";"Марфино";"450233717";"Наезд на препятствие";"";"0";"0";"г Москва ул Академика Королева 28к,1";"0,0";"1,0";"2,0";"3,0";
